collection_number,locality_id,continent,country,state,latitude_band,paleoocean,latitude,longitude,paleolatitude,paleolongitude,formation,member,stratscale,collection_name,collection_aka,n_occs,early_interval,late_interval,max_ma,min_ma,age_range,time_interval_type,early_epoch,late_epoch,early_period,late_period,early_era,late_era,reference,collection_comments,age_evaluation,comments_evaluation,fossil_type,reference_display,reference_key
PBDB_13626,181,South America,Argentina,Entre Rios,Southern Temperate,Atlantic,-33.716667,-59.25,-33.29,-57.72,Entre Rios,,formation,Barrancas del Rio Parana,Entreriana,7,Tortonian,Tortonian,11.63,7.246,4.384,Stage,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Bravard 1858,"based on nearby landmark; Barrancas del rio Parana, near the city of Parana, Entre Rios Province, Argentina",valid,"From PBDB: Predominant faunal elements indicate a Huayquerian age, but there are rare forms that might be reworked from older deposits of Santacrucian and/or Chasicoan age, and a few others which are representatives of Montehermosan age;\r\n""Fossiliferous beds in this area have received numerous names....The name ""Entrerriense"" or ""Formacion Entrerriana"" has been applied to the somewhat younger marine facies... fluviatile facies has been generally included under the name ""Mesopotamiense""...."" \r\nHuayquerian is now known as late Miocene",,Bravard 1858,bravard 1858
PBDB_61249,1769,North America,United States,Mississippi,Northern Temperate,Pacific,32.901112,-90.193054,35.73,-79.94,Moodys Branch,,,Tesheva Creek,"Techeva Creek, MGS Locality 11",12,Bartonian,Bartonian,41.2,37.71,3.49,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Breard 1991,"estimated from map; Section 9, T.12N, R.1E",valid,late middle Eocene stated in the text; From PBDB: late middle Eocene,,Breard 1991,breard 1991
PBDB_75638,1903,North America,United States,Louisiana,Northern Temperate,Pacific,31.965492,-91.976028,34.96,-82.52,Yazoo,Tullos,member,Ouachita River,Copenhagen,18,Priabonian,Priabonian,37.71,33.9,3.81,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Breard and Stringer 1995,"estimated from map; on the Ouachita* river, in the state of Louisiana, at a distance (south) of about fifty miles by land, and one hundred and ten by water from the town of Monroe, in the parish of Ouachita, and in lat. 31? 46' or 48'...The hill, in which the bones herewith presentedwere found, is within the limits above described, at a distance of not more than two hundred yards from the Ouachita river.\r\n\r\nOriginally said to be from Ouachita Parish, but at the time, Ouachita Parish was much larger. This spot is now in Caldwell Parish.",valid,"From PBDB: Kellogg (1936) only identifies the source rock a ""Jackson Formation, upper Eocene""",,Breard & Stringer 1995,breard & stringer 1995
PBDB_209370,946,North America,United States,Texas,Northern Temperate,Pacific,30.674219,-96.563866,33.97,-84.6,Stone City,,,"Stone City Formation, type locality, Assemblage B",,13,Lutetian,Lutetian,47.8,41.2,6.6,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Breard and Stringer 1999,"estimated from map; located along the south bank of the Brazos River in Burleson County,Texas and is approximately 18.5 km west of Bryan, Brazos County, Texas",valid,,,Breard & Stringer 1999,breard & stringer 1999
PBDB_209371,946,North America,United States,Texas,Northern Temperate,Pacific,30.674219,-96.563866,33.97,-85.91,Stone City,,,"Stone City Formation, type locality, Assemblage A",,16,Lutetian,Lutetian,47.8,41.2,6.6,Stage,Eocene,Eocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Breard and Stringer 1999,"estimated from map; located along the south bank of the Brazos River in Burleson County,Texas and is approximately 18.5 km west of Bryan, Brazos County, Texas",valid,,,Breard & Stringer 1999,breard & stringer 1999
PBDB_14514,264,North America,United States,Wyoming,Northern Temperate,Pacific,41.568298,-108.667801,48.6,-89.33,Lance,,group of beds,Robber's Roost (UW V-79032),"UCMP V-84215, Black Butte",2,Lancian,Lancian,70.6,66,4.6,NALMA,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Breithaupt 1982,"stated in text; NE 1/4, SE 1/4, NE 1/4 of Sec 3, T18N, R100W",valid,,,Breithaupt 1982,breithaupt 1982
PBDB_45844,1534,North America,United States,Wyoming,Northern Temperate,Pacific,41.568298,-108.648598,48.37,-89.31,Lance,,bed,Dino Ray UW V-79033,,1,Lancian,Lancian,70.6,66,4.6,NALMA,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Breithaupt 1982,"stated in text; NW 1/4, SW 1/4, NW 1/4 of Sex 2, T18N, R100W; 61 m E of UW V-79032\r\n61 m east of, and 10 m higher in section than, UW V-79032",valid,,,Breithaupt 1982,breithaupt 1982
L_2837,3592,Europe,Netherlands,Limburg,Northern Temperate,Tethys Seaway,50.82086,5.686962,48.18,4.78,,,,Mount Sin Pieter,,5,Maastrichtian,Maastrichtian,72.1,66,6.1,Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brignon 2015,coordinates of the mountain ,valid,age justified in the text,teeth,Brignon 2015,brignon 2015
PBDB_22697,1336,North America,Canada,Alberta,Northern Temperate,Pacific,50.809345,-111.63166,57.8,-81.52,Dinosaur Park,,bed,"Steveville Railway Grade, RTMP BB 102","ETE Locality 1572, Steveville Railroad Grade, RRG, Bonebed 102, RTMP Quarry 152",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1986,stated in text;,valid,,,Brinkman 1986,brinkman 1986
PBDB_45264,1488,North America,Canada,Alberta,Northern Temperate,Pacific,50.747658,-111.502129,57.77,-84.56,Dinosaur Park,,bed,RTMP BB 86,"DPP, Bonebed 86",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1986,"stated in text; Microvertebrate sites are locate within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1986,brinkman 1986
PBDB_47793,1568,North America,Canada,Alberta,Northern Temperate,Pacific,50.750069,-111.463036,57.74,-81.99,Dinosaur Park,,bed,"New Eggshell Site, RTMP BB 98","microvertebrate, NESS, DPP, Bonebed 98",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1986,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1986,brinkman 1986
PBDB_47814,1575,North America,Canada,Alberta,Northern Temperate,Pacific,50.812054,-111.577621,57.87,-85.87,Dinosaur Park,,bed,RTMP BB 54,"microvertebrate, Bonebed 54, DPP",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1986,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1986,brinkman 1986
PBDB_47816,1576,North America,Canada,Alberta,Northern Temperate,Pacific,50.750278,-111.474724,57.78,-83.27,Dinosaur Park,,bed,"RTMP BB 31, DPP",Bonebed 31,1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1986,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1986,brinkman 1986
PBDB_22695,1334,North America,Canada,Alberta,Northern Temperate,Pacific,50.754803,-111.39872,57.79,-85.07,Dinosaur Park,,bed,"Francois Site, RTMP BB 106","ETE Locality 1570, Bonebed 106",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,stated in text;,valid,"From PBDB: ETE dating method: time_unit, ETE age comment: 0 radiometric intage_min",,Brinkman 1990,brinkman 1990
PBDB_22696,1335,North America,Canada,Alberta,Northern Temperate,Pacific,50.781303,-111.325546,57.8,-83.73,Dinosaur Park,,bed,"Peter's Site, RTMP BB 94","ETE Locality 1571, Bonebed 94",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,stated in text;,valid,,,Brinkman 1990,brinkman 1990
PBDB_22698,1337,North America,Canada,Alberta,Northern Temperate,Pacific,50.749939,-111.514915,57.79,-83.32,Dinosaur Park,,bed,RTMP BB 104,"ETE Locality 1573, Bonebed 104, U-2",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,stated in text;,valid,,,Brinkman 1990,brinkman 1990
PBDB_45238,1483,North America,Canada,Alberta,Northern Temperate,Pacific,50.736988,-111.494652,57.79,-85.18,Dinosaur Park,,bed,RTMP BB 25,"Bonebed 25, DPP",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990). ",valid,,,Brinkman 1990,brinkman 1990
PBDB_45240,1484,North America,Canada,Alberta,Northern Temperate,Pacific,50.752384,-111.511536,57.8,-85.81,Oldman,,bed,RTMP BB 105,"Dave's II, Bonebed 105, DPP",1,Middle Campanian,Middle Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_45260,1485,North America,Canada,Alberta,Northern Temperate,Pacific,50.737049,-111.480057,57.64,-82.66,Dinosaur Park,,bed,RTMP BB 119,"Turtle Pond, DPP, Bonebed 119, RTMP Quarry 159, U009",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are locate within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_45261,1486,North America,Canada,Alberta,Northern Temperate,Pacific,50.749004,-111.458488,57.79,-86.36,Dinosaur Park,,bed,RTMP BB 97,"Bonebed 97, DPP, JMC 1044",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are locate within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_45262,1487,North America,Canada,Alberta,Northern Temperate,Pacific,50.748341,-111.510078,57.8,-86.42,Dinosaur Park,,bed,"Sid's Site, RTMP BB 51","DPP, Bonebed 51",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are locate within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47784,1567,North America,Canada,Alberta,Northern Temperate,Pacific,50.791401,-111.624329,57.86,-85.31,Dinosaur Park,,bed,"One Tree Creek, RTMP BB 108","microvertebrate, DPP, Bonebed 108",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47794,1569,North America,Canada,Alberta,Northern Temperate,Pacific,50.75544,-111.531418,57.67,-80.13,Oldman,,bed,"New Campsite Locality, RTMP BB 100","microvertebrate, DPP, Bonebed 100, RTMP L0406",1,Middle Campanian,Middle Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47795,1570,North America,Canada,Alberta,Northern Temperate,Pacific,50.82914,-111.321968,57.74,-83.7,Oldman,,bed,"Ankylosaur-rich Site, RTMP BB 103","microvertebrate, Bonebed 103, DPP",1,Middle Campanian,Middle Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47807,1571,North America,Canada,Alberta,Northern Temperate,Pacific,50.767208,-111.514679,57.82,-86.41,Dinosaur Park,,bed,"Bill's Site, RTMP BB 70","microvertebrate, DPP, Bonebed 70",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990). NOTE: This is incorrectly listed as BB 71 in Brinkman (1990) but has been corrected here.",valid,,,Brinkman 1990,brinkman 1990
PBDB_47809,1572,North America,Canada,Alberta,Northern Temperate,Pacific,50.765007,-111.523872,57.79,-86.43,Oldman,,bed,"Chris's Site, RTMP BB 107","microvertebrate, DPP, Bonebed 107",1,Middle Campanian,Middle Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47811,1573,North America,Canada,Alberta,Northern Temperate,Pacific,50.750423,-111.506981,57.81,-85.2,Dinosaur Park,,bed,"Matthew's Site, RTMP BB 121","microvertebrate, Bonebed 121, DPP",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_47812,1574,North America,Canada,Alberta,Northern Temperate,Pacific,50.748547,-111.524963,57.8,-86.43,Dinosaur Park,,bed,"Overlook Site, RTMP BB 118","microvertebrate, DPP, Bonebed 118",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 1990,"stated in text; Microvertebrate sites are located within the Dinosaur Provincial Park, 48 km northeast of Brooks, Alberta. UTM coordinates and elevation are provided in Eberth (1990).",valid,,,Brinkman 1990,brinkman 1990
PBDB_98674,1488,North America,Canada,Alberta,Northern Temperate,Pacific,50.747658,-111.502129,57.65,-80.1,Dinosaur Park,,bed,H&M site,"DPP, RTMP",2,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 2008,based on nearby landmark; unreported coordinates; plotted within Dinosaur Provincial Park,valid,,,Brinkman 2008,brinkman 2008
PBDB_98677,1488,North America,Canada,Alberta,Northern Temperate,Pacific,50.747658,-111.502129,57.8,-85.8,Dinosaur Park,,bed,Cretin site,"DPP, RTMP",1,late Campanian,late Campanian,83.6,72.1,11.5,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman 2008,based on nearby landmark; unreported coordinates; plotted within Dinosaur Provincial Park,valid,,,Brinkman 2008,brinkman 2008
PBDB_14425,244,North America,Canada,Alberta,Northern Temperate,Pacific,49.099998,-111.800003,55.68,-79.74,Milk River,Deadhorse Coulee,bed,Verdigris Coulee (UA-MR-6),UALVP MR-6,2,late Santonian,late Santonian,86.3,83.6,2.7,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman et al. 2017,based on nearby landmark; 29 km E of Milk River,valid,Changed max and min ages from 85.8 and 83.5 to 86.3 and 83.6 based on ISC chart 2022,,Brinkman Et Al. 2017,brinkman et al. 2017
PBDB_14426,244,North America,Canada,Alberta,Northern Temperate,Pacific,49.099998,-111.800003,55.89,-80.45,Milk River,Deadhorse Coulee,bed,Verdigris Coulee (UA-MR-8),UALVP MR-8,1,late Santonian,late Santonian,86.3,83.6,2.7,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman et al. 2017,based on nearby landmark; 29 km E of Milk River,valid,Changed max and min ages from 85.8 and 83.5 to 86.3 and 83.6 based on ISC chart 2022,,Brinkman Et Al. 2017,brinkman et al. 2017
PBDB_14428,244,North America,Canada,Alberta,Northern Temperate,Pacific,49.099998,-111.800003,55.47,-80.45,Milk River,Deadhorse Coulee,bed,Verdigris Coulee (UA-MR-20),UALVP MR-20,1,late Santonian,late Santonian,86.3,83.6,2.7,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman et al. 2017,based on nearby landmark; 29 km E of Milk River,valid,Changed max and min ages from 85.8 and 83.5 to 86.3 and 83.6 based on ISC chart 2022,,Brinkman Et Al. 2017,brinkman et al. 2017
PBDB_190344,244,North America,Canada,Alberta,Northern Temperate,Pacific,49.099998,-111.800003,55.68,-80.45,Milk River,Deadhorse Coulee,bed,Verdigris Coulee TMP L1145,TMP accession number 2000.1,2,late Santonian,late Santonian,86.3,83.6,2.7,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman et al. 2017,based on nearby landmark;,valid,Changed max and min ages from 85.8 and 83.5 to 86.3 and 83.6 based on ISC chart 2022,,Brinkman Et Al. 2017,brinkman et al. 2017
PBDB_190345,244,North America,Canada,Alberta,Northern Temperate,Pacific,49.099998,-111.800003,55.89,-80.45,Milk River,Deadhorse Coulee,bed,Verdigris Coulee Michael's Site,TMP accession number 2000.2,2,late Santonian,late Santonian,86.3,83.6,2.7,Sub-Stage,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brinkman et al. 2017,based on nearby landmark;,valid,Changed max and min ages from 85.8 and 83.5 to 86.3 and 83.6 based on ISC chart 2022,,Brinkman Et Al. 2017,brinkman et al. 2017
L_753,4479,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.78971,5.497,43.15,5.39,,,,Charrouyre,,41,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title; chimaeras also reported for this locality",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_754,4480,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.7905,5.48858,43.15,5.38,,,,Escalette,,35,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_755,4481,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.78717,5.49271,43.09,5.35,,,,Raoux,,24,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_756,4482,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.79194,5.49207,43.09,5.35,,,,Le Clot,,22,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_757,4483,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.78925,5.50821,43.15,5.4,,,,Ravin du Loup,,33,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_758,4484,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.76441,5.50558,43.06,5.37,,,,La Bonde,,26,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a map; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_759,4485,Europe,France,Provence-Alpes-Côte d'Azur,Northern Temperate,Neo-Tethys,43.78451,5.49761,43.03,5.34,,,,Cabrières,,3,Langhian,Serravallian,15.97,11.63,4.34,Sub-Epoch,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brisswalter 2009,"coordinates estimated from a nearby landmark; middle Miocene age according to the geological setting section, but late Miocene in the title",valid,age stated and justified in the text,teeth,Brisswalter 2009,brisswalter 2009
L_2494,3333,South America,Brazil,Pernambuco,Tropical,Atlantic,-7.3878,-40.2162,-10.6,-13.84,Santana,,,Chapada do Araripe,,1,Aptian,Albian,121.4,100.5,20.9,Sub-Epoch,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brito and Seret 1996,Coordinates estimated from Chapada do Araripe upland,valid,age justified in the text,complete specimen,Brito & Seret 1996,brito & seret 1996
L_783,4508,Europe,Portugal,,Northern Temperate,Atlantic,36.98592,-25.1055,36.97,-25.13,,,,Santa Maria Island,,4,early Pliocene,early Pliocene,5.333,3.6,1.733,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Brito de Azevedo 2017,coordinates estimates from a nearby landmark,valid,"age stated in the text, referrenced from Zbyszewski and Ferreira 1962",teeth,Brito de Azevedo 2017,brito de azevedo 2017
L_784,4509,Europe,Portugal,,Northern Temperate,Atlantic,37.00429,-25.1396,36.97,-25.17,,,,Cré,,1,early Pliocene,early Pliocene,5.333,3.6,1.733,Sub-Epoch,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Brito de Azevedo 2017,coordinates estimated from a map,valid,"age stated in the text, referrenced from Zbyszewski and Ferreira 1962",teeth,Brito de Azevedo 2017,brito de azevedo 2017
L_2415,3274,Asia,Lebanon,,Northern Temperate,Tethys,33.88882,35.50088,18.15,30.31,,,,Lebanon (unknown locality),,9,Santonian,Campanian,86.3,72.1,14.2,Sub-Epoch,Upper Cretaceous,Upper Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brito et al. 1996,"Coordinates estimated from Beirut, capital of Lebanon, only an abstract available, thus locality details lacking",invalid,only abstract available and no geological information provided,unspecified,Brito Et Al. 1996,brito et al. 1996
PBDB_80283,1946,North America,Mexico,Puebla,Tropical,Pacific,18.586,-97.899002,20.32,-67.66,Tlayúa,,group of beds,Tlayúa Quarry (IGM collection),Tlayua Quarry,1,late Albian,late Albian,113,100.5,12.5,Sub-Stage,Lower Cretaceous,Lower Cretaceous,Cretaceous,Cretaceous,Mesozoic,Mesozoic,Brito et al. 2019,estimated from map;,valid,"From PBDB: Middle Member. Cantu-Chapa (1987) recognized the genus Hysteroceras, Mortoniceras, and cf. Anisoceras, which represent a typical late Albian ammonite assemblage of the European zone, being similar to the Mortoniceras inflatum zone (Applegate et al., 2006).",,Brito Et Al. 2019,brito et al. 2019
PBDB_181304,669,North America,Mexico,,Tropical,Pacific,16.079445,-91.067497,17.06,-89.83,,,bed,Puente Ixcán,,1,Hemphillian,Hemphillian,10.3,4.9,5.4,NALMA,Pliocene,Pliocene,Neogene,Neogene,Cenozoic,Cenozoic,Brochu and Carbot-Chanona 2015,"estimated from map; Puente Ixc√°n locality, Maravilla Tenejapa municipality, Chiapas State, southern Mexico",valid,,,Brochu & Carbot-chanona 2015,brochu & carbot chanona 2015
L_1676,2731,Europe,Czech Republic,South Moravia,Northern Temperate,Neo-Tethys,48.936342,16.626627,47.33,16.31,,Pouzdřanské vrstvy,,Pouzdřany,,8,lower Oligocene,middle Oligocene,33.9,23.03,10.87,Sub-Epoch,Oligocene,Oligocene,Paleogene,Paleogene,Cenozoic,Cenozoic,Brzobohatý & Kalabis 1970,state = region,valid,age stated and justified in the text,teeth,Brzobohat√Ω & Kalabis 1970,brzobohaty & kalabis 1970
PBDB_65418,1805,Europe,Austria,Meiseldorf,Northern Temperate,Neo-Tethys,48.590279,15.811667,47.34,15.5,Burgeschleinitz,,,Sonndorf,,2,Burdigalian,Burdigalian,20.44,15.97,4.47,Stage,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brzobohaty and Schultz 1971,estimated from map;,valid,From PBDB: upper Eggenburgian,,Brzobohaty & Schultz 1971,brzobohaty & schultz 1971
PBDB_159375,419,Europe,Austria,Plesching bei Linz,Northern Temperate,Neo-Tethys,48.334167,14.304167,47.17,14.04,Rzehakia,,,Plesching bei Linz,,12,Burdigalian,Burdigalian,20.44,15.97,4.47,Stage,Miocene,Miocene,Neogene,Neogene,Cenozoic,Cenozoic,Brzobohaty and Schultz 1973,based on political unit;,valid,From PBDB: Ottnangian,,Brzobohaty & Schultz 1973,brzobohaty & schultz 1973
