author,year,identifier,title,journal,DOI,abstract,author1,journal_detail,pubtype,language,source,collection_number,occurrence_number,reference_key,reference_display
"Thomas H., Roger J., M. Halawani, A. Memesh, P. Lebret, C. Bourdillon, E. Buffeteaut, H. Cappetta, C. Cavelier, D. Dutheil, H. Tong, D. Vaslet",1999,,Late Paleocene to Early Eocene marine vertebrates from the Uppermost Aruma Formation (northern Saudi Arabia): implications for the K-T transition,"Comptes Rendus de l'Academie des Sciences, Serie II. Sciences de la Terre et des Planetes",10.1016/s1251-8050(00)88504-3,,Thomas,,Journal article,unknown,PBDB,PBDB_37182,"PBDB_23951, PBDB_23952, PBDB_23953, PBDB_23954, PBDB_23955, PBDB_23956, PBDB_23957, PBDB_23958, PBDB_23959",thomas et al. 1999,Thomas et al. 1999
"Thomas H., Roger J., S. Sen, C. Bourdillon-de-Grissac, Z. Al-Sulaimani",1989,,Découverte de Vertébrés fossiles dans l'Oligocéne inférieur du Dhofar (Sultanat d'Oman),Geobios,10.1016/s0016-6995(89)80091-9,,Thomas,,Journal article,English,PBDB,PBDB_175334,"PBDB_16228, PBDB_16229, PBDB_16230, PBDB_16231, PBDB_16232, PBDB_16233, PBDB_16234, PBDB_16235, PBDB_16236, PBDB_27529",thomas et al. 1989,Thomas et al. 1989
"Thomas H., Sen S., M. Khan, B. Battail, G. Ligabue",1982,,"The Lower Miocene Fauna of Al-Sarrar (Eastern Province, Saudi Arabia)",Atlal,,,Thomas,,Journal article,unknown,PBDB,"PBDB_47024, PBDB_47026, PBDB_47069, PBDB_47095","PBDB_24797, PBDB_24798, PBDB_24799, PBDB_24800, PBDB_24801, PBDB_24802, PBDB_24803, PBDB_24804, PBDB_24805, PBDB_27601, PBDB_24809, PBDB_24810",thomas et al. 1982,Thomas et al. 1982
"Thomas, D.B. & Mcgoverin, C.M. & Fordyce, R.E. & Frew, R.D. & Gordon, K.C.",2011,,Raman spectroscopy of fossil bioapatite - A proxy for diagenetic alteration of the oxygen isotope composition.,"Palaeogeography, Palaeoclimatology, Palaeoecology",10.1016/j.palaeo.2011.06.016,"Fossil bioapatite may yield biogeochemical signals of paleoenvironments captured by living organisms. Bioapatite may be diagenetically altered, however, with ions added or removed post-mortem; such change is typically assessed using destructive and demanding techniques. Here, Raman spectroscopy is used as a rapid and non-destructive way to identify significant diagenetic alteration of fossil bioapatite. We found spectral parameters of phosphate symmetric stretching (ν1-PO43−) to be very sensitive to variations in apatite chemistry, particularly with respect to common diagenetic components (CO32−, F−, Sr2+). The Raman spectral parameters were subsequently applied to a set of modern (biogenic) and geologic (magmatic) apatite samples as potential endmembers for diagenetic alteration. Raman spectra were also collected from enamel and dentin (respectively resistant vs. alteration-prone) of fossil teeth. Phosphate-oxygen isotopic values from the same enamel-dentin samples were used as an index of alteration and provided definition of Raman spectral parameters as relates to diagenetic alteration. Diagenetically altered samples were characterised by spectra with ν1-PO43− widths (at half maximum height) less than 13.0 cm− 1, and ν1-PO43− band positions greater than 964.7 cm− 1. Raman spectroscopy is shown to have potential as a tool for pre-screening fossil apatite samples before further analyses.",Thomas,"Palaeogeography, Palaeoclimatology, Palaeoecology, 310 (1–2): 62–70",Journal article,English,L,"L_1174, L_1175","L_11878, L_11879, L_11877",thomas et al. 2011,Thomas et al. 2011
"Thurmond J. T., ",1971,,Cartilaginous fishes of the Trinity Group and related rocks (Lower Cretaceous) of north central Texas,Southeastern Geology,,,Thurmond,,Journal article,English,PBDB,"PBDB_14390, PBDB_99142, PBDB_99143, PBDB_99144, PBDB_99145, PBDB_99146, PBDB_99147, PBDB_99148, PBDB_99149, PBDB_99150, PBDB_99151, PBDB_99152, PBDB_99153, PBDB_99154, PBDB_99155, PBDB_99156, PBDB_99157, PBDB_99158","PBDB_13855, PBDB_1081, PBDB_1082, PBDB_1084, PBDB_1083, PBDB_1085, PBDB_1086, PBDB_1089, PBDB_1087, PBDB_1088, PBDB_1090, PBDB_1082, PBDB_1091, PBDB_10821, PBDB_10820, PBDB_10823, PBDB_10822, PBDB_10824, PBDB_10825, PBDB_10827, PBDB_10826, PBDB_10828, PBDB_10829, PBDB_10830, PBDB_1083, PBDB_10831, PBDB_10833, PBDB_10832, PBDB_10834, PBDB_10835, PBDB_10837, PBDB_10836",thurmond 1971,Thurmond 1971
"Thurmond J. T., Jones D. E., ",1981,,Fossil Vertebrates of Alabama,Fossil Vertebrates of Alabama,10.1016/s0146-2776(81)80045-6,,Thurmond,,Book,English,PBDB,"PBDB_16848, PBDB_3587, PBDB_83330, PBDB_83333","PBDB_16087, PBDB_16088, PBDB_16089, PBDB_16090, PBDB_16091, PBDB_16092, PBDB_23909, PBDB_10053, PBDB_10076",thurmond & jones 1981,Thurmond & Jones 1981
Tiffney B.H.,1999,,Fossil fruit and seed flora from the early Eocene Fisher/Sullivan site,Virginia Division of Mineral Resources Publication,,,Tiffney,,Journal article,English,PBDB,PBDB_22775,,tiffney 1999,Tiffney 1999
"Ting-Pong K., ",1956,,Summary on the fossil vertebrates in Taiwan (Formosa),Proceedings of the Eight Pacific Science Congress,,,Ting-Pong,,Journal article,English,PBDB,PBDB_76844,"PBDB_27099, PBDB_27100, PBDB_27101, PBDB_27102",ting pong 1956,Ting-pong 1956
"Titus A. L., Knoll K., J. J. W. Sertich, D. Yamamura, C. A. Suarez, I. J. Glasspool, J. E. Ginouves, A. K. Lukacic, E. M. Roberts",2021,,Geology and taphonomy of a unique tyrannosaurid bonebed from the upper Campanian Kaiparowits Formation of southern Utah: implications for tyrannosaurid gregariousness,PeerJ,10.7717/peerj.11013,,Titus,,Journal article,English,PBDB,PBDB_219712,PBDB_22930,titus et al. 2021,Titus et al. 2021
"Tiwari R. P., Kachhara R. P., ",2003,,"Molluscan biostratigraphy of the Tertiary sediments of Mizoram, India",Journal of the Paleontological Society of India,10.1177/0971102320030104,,Tiwari,,Journal article,English,PBDB,"PBDB_78614, PBDB_78641","PBDB_27253, PBDB_27254, PBDB_27255, PBDB_27256, PBDB_27257, PBDB_27258, PBDB_27259",tiwari & kachhara 2003,Tiwari & Kachhara 2003
"Tiwari, R.P. & Ralte, V.Z.",2012,,"Fossil batoid and teleost fish remains from Bhuban Formation (Lower to Middle Miocene), Surma Group, Aizawl, Mizoram.",Current Science,,"Intraformational conglomeratic horizon within the Upper Bhuban unit of Bhuban Formation, Surma Group (Lower to Middle Miocene) exposed at two localities in the vicinity of Aizawl, Mizoram has yielded fish remains mostly in the form of isolated teeth, dental plates and spines. Majority of these belong to diverse selachians and have already been described. We describe here dental plates and a caudal spine belonging to two species of Myliobatis, one of Aeteobatus (batoids) and four of Diodon (teleosts) from the same fossil localities. These fish remains together with associated selachians and mega-invertebrates suggest the existence of a tropical to subtropical climate and a warm shallow marine set-up near to the shoreline in a high-energy environment during the deposition of the fossiliferous horizon.",Tiwari,"Current Science, 103 (6): 716-720",Journal article,English,L,L_326,"L_64, L_640",tiwari & ralte 2012,Tiwari & Ralte 2012
"Todd R., ",1970,,"Smaller Foraminifera of Late Eocene Age From Eua, Tonga",Geological Survey Professional Paper,10.3133/pp640a,,Todd,,Book chapter,English,PBDB,PBDB_43006,"PBDB_24321, PBDB_24322, PBDB_24323",todd 1970,Todd 1970
"Tokaryk T. T., ",1992,,"Baptornis sp. (Aves: Hesperornithiformes) from the Judith River Formation (Campanian) of Saskatchewan, Canada",Journal of Paleontology,10.1017/s002233600002093x,,Tokaryk,,Journal article,English,PBDB,PBDB_75030,"PBDB_27032, PBDB_27033, PBDB_27034",tokaryk 1992,Tokaryk 1992
"Tomanová Petrová, P. & Nehyba, S. & Diviš, K. & Hladilová, Š. & Gregorová, R. & Vít, J. & Hudec, P.",2018,,Paleoprostředí ve Spodním Badenu na Severním Okraji Brna (Divišova Čtvrť). [Paleoenvironment during the Lower Badenian along the northern margin of Brno city (the Diviš district)]. ,"Geologické výzkumy na Moravě a ve Slezsku, 25(1–2): 65–72",,"Lower Badenian sediments were studied on the locality Hvozdíkova at the Diviš district, Brno. There were interpreted 4 lithofacies of Neogene (Lower Badenian) sediments (lithofacies M1, M2, Sl, and SGl). Occurrence of basal Lower Badenian clastics is connected with existence of coarse-grained delta (foreset). Overlying pelites document pelagic sedimentation of open sea. Garnet dominates in assemblage of heavy translucent minerals. Rich assemblages of foraminifers, molluscs, spines of echinoids, ostracods and shark fauna were discovered in sediments. Diversified assemblages are dominated by plankton specimens. Species Orbulina suturalis Brön., Praeorbulina glomerosa circularis (Blow) and Globigerinoides bisphericus Todd. indicate the Lower Badenian age. From the point of view of the shark fauna diversity the locality Hvozdíkova is unique; shark fauna is very rare in Lower Badenian clays, and the genera of Squaliolus and Paraetmopterus are identified for the first time. Oysters – especially species Neopycnodonte navicularis (Brocchi) – dominate in Lower Badenian sediments. Small gastropods (for example Cancellaria sp., ?Tornus sp., Rissoa sp., Alvania sp.) probably represent fossils reworked from shallow littoral area.",Tomanová Petrová,"Geologické výzkumy na Moravě a ve Slezsku, 25(1–2): 65–72",Journal article,Czech,L,L_867,"L_9356, L_9357, L_9358",tomanova petrova et al. 2018,Tomanová Petrová et al. 2018
"Tomita, T. & Oji, T.",2010,,"Habitat Reconstruction of Oligocene Elasmobranchs from Yamaga Formation, Ashiya Group, Western Japan.",Paleontological Research,10.2517/1342-8144-14.1.069,"Remains of 11 species of extinct elasmobranch were obtained from the Oligocene Yamaga Formation on Ainoshima Island in northern Kitakyushu City, Japan. More than 360 gill rakers belonging to a basking shark (Cetorhinus sp.) individual were collected from a stratigraphic horizon in the northern part of the island. This report represents the highest concentration of basking shark gill rakers in the fossil record of Japan.

Based on sedimentary facies analysis combined with habitat data of extant sharks, habitats of Oligocene elasmobranchs were reconstructed. The result indicates that Oligocene sharks probably lived in an environment similar to that of extant sharks at the genus level. This does not support the previous hypotheses that some shark taxa (e.g., Hexanchus) existed within shallow environments during the Oligocene, and have since migrated into deeper water habitats. Analysis of other genera supports this hypothesis of stability in elasmobranch habitat preference, at least at the genus level, between the Oligocene and present day.",Tomita,"Paleontological Research, 14 (1): 69–80",Journal article,English,L,"L_1184, L_1185, L_1186, L_1187","L_11938, L_11939, L_1194, L_11940, L_11941, L_11942, L_11943, L_11944, L_11945, L_11946, L_11947, L_11948, L_11949, L_1195, L_11950, L_11951, L_11952, L_11953, L_11954, L_11955, L_11957, L_11958, L_11959, L_1196, L_11960, L_11961",tomita & oji 2010,Tomita & Oji 2010
"Tomita, T. & Yokoyama, K.",2015,,"The First Cenozoic Record of a Fossil Megamouth Shark (Lamniformes, Megachasmidae) from Asia.",Paleontological Research,10.2517/2015PR004,"The megamouth shark (Lamniformes, Megachasmidae) is one of four extant planktivorous elasmobranch lineages, but its fossil record is quite limited. In the present study, we report a new discovery of a rare megachasmid shark fossil from the late Miocene‚Äîearly Pleistocene interval of Okinawa Island, Japan. To date, this specimen represents the only reliable record of a megachasmid fossil from Asia.",Tomita,"Paleontological Research, 19 (3): 204-207",Journal article,English,L,L_327,L_6428,tomita & yokoyama 2015,Tomita & Yokoyama 2015
"Tong H., Meylan P., ",2013,,Morphology and Relationships of Brachyopsemys tingitana gen. et sp. nov. from the Early Paleocene of Morocco and Recognition of the New Eucryptodiran Turtle Family: Sandownidae,Morphology and Evolution of Turtles,10.1007/978-94-007-4309-0_13,,Tong,,Book chapter,English,PBDB,PBDB_83311,"PBDB_10045, PBDB_10046, PBDB_10047, PBDB_10048, PBDB_10049, PBDB_1005, PBDB_10050, PBDB_10051, PBDB_10052",tong & meylan 2013,Tong & Meylan 2013
"Tonni, E.P. & Cionne, A.L.",1978,,"Una nueva coleccion de vertebrados del Terciario inferior de la Isla Vicecomodoro Marambio (Seymour Island), Antartida",Obra del Centenario del Museo de La Plata,,"A new collection of Lower Tertiary Vertebrates from Vicecomodoro
Marambio Island (Seymour Island), Antarctica
The present paper is based on material collected by the authors in Ter-
tiary sediments at the Vicecomodoro Maramblo Island, Antarctica. The collec-
tion consists of remains of Selachil and Rajlformes (Chondrichthyes) , Teleostel
(Ostelchthyes), Pelecaniformes and Sphenisciformes
(Aves), and Odontoceti
(Mammalia). The first ocurrence of Rajiformes and Pelecaniformes for An-
tarctica is destacable.
The faune which was found in the lower levels of Ma-
ramblo Formation Indicates, at least, temperate waters, while that founded In
the uppermost levels would indicate temperatures sensibly colder.",Tonni,"Obra del Centenario del Museo de La Plata, 5, 73–79",Journal article,Spanish,L,"L_1426, L_1427","L_21141, L_21142, L_21143, L_21144, L_21145, L_21146, L_21147",tonni & cionne 1978,Tonni & Cionne 1978
"Torices Hernández A., ",2002,,"Los dinosaurios terópodos del Cretácico Superior de la Cuenca de Tremp (Pirineos Sur-Centrales, Lleida)",Coloquios de Paleontología,,,Torices Hernández,,Journal article,Spanish,PBDB,"PBDB_36727, PBDB_36728","PBDB_23943, PBDB_23944",torices hernandez 2002,Torices Hernández 2002
"Toscano-Grande, A.",2016,,Vertebrados marinos del neógeno del suroeste de la Península Ibérica.,University of Huelv,,"This PHD thesis studies the marine vertebrates present in the Miocene and Pliocene formations of Southwestern Guadalquivir Basin in the province of Huelva, its evolutionary aspects and paleoecological implications. The results obtained allow to define with higher resolution the development of coastal and marine ecosystems in the Southwest of the Iberian Peninsula during the late Neogene. During this time, the two main pathways between the Atlantic Ocean and the Mediterranean Sea were Norb√©tico Strait and the Strait Rif. The studied area for their paleogeographic situation between Atlantic and Mediterranean is in a prime location for the study of the fossil record of these groups.
 The Neogene studied materials belong to the following formations: Fm. Niebla (Tortoniense sup.) Fm. Arcillas de Gibrale√≥n (Tortoniense sup.-Messinian), and Fm. Arenas de Huelva (Pliocene inf.). Representative sites were selected and was made systematic sampling (350 kg.), and surface searches. Also, a facies mapping and geological sections ware made. The samples were sieved in the laboratory in order to separate the remains of small vertebrates, and microfossils to detail the paleoecological conditions and their dating. They also cleaned and consolidated large vertebrate fossils. The remains were cataloged, labeled and photographed.
 In all, it has obtained more than 3,000 teeth, 230 otoliths and 2000 skeletal remains, along with 8 skeletons of cetaceans. We have identified 116 taxa of marine vertebrate of the Neogene of Huelva. Of these, there are 50 species of sel√°ceos (sharks and rays), 5 holocephalans (chimeras), 48 Osteichthyes (bony fish), 1 Bird, 2 sea turtles and 10 marine mammals (2 seals, 4 cetacean baleen and 4 toothed whales). In total 43 taxa are species mentioned for the first time in the area, 16 of which are also for the first time in Spain. All this is a great contribution to paleocommunities vertebrate and its implications in the knowledge of the food chains of the past. The data have allowed to establish a paleoecological, biochronological paleobiogeographic and environmental approach. Thus, Niebla Fm. is characteristic of a shallow coastal environment of warm subtropical waters; Arcillas de Gibrale√≥n Fm. indicates a deep and far from shore environment, with open sea fauna of the area above the continental slope, between 150 and 400 m deep. Arenas de Huelva Fm. would be a shallower area of something deeper at the base and lesser on its roof continental shelf, from about 100 to about 30 m deep. It considerably increases the wildlife both in number and diversity. The shallowing by the silting of the Guadalquivir basin is well recorded in vertebrates associations. Fossils indicate a mixture of species of temperate and warm waters, with a predominance of the latter. This would indicate a subtropical climate somewhat warmer than it currently has in the area. In addition, communities of vertebrates other upper Neogene of Portugal, Greece Messinian, Pliocene of Catalonia, C. Valenciana, Murcia and Baleares, Italian Pliocene and Pliocene in Southeastern France were compared.
 All this is an improvement in the understanding of the marine ecosystem and paleoenvironmental evolution Southwest of the Iberian Peninsula during the late Tertiary or Cenozoic era.",Toscano-Grande,"Thesis, University of Huelva, Spain",Thesis,Spanish,L,"L_849, L_850, L_851, L_852, L_853, L_854, L_855, L_856, L_857, L_858, L_859, L_860, L_861, L_862, L_863, L_864, L_865, L_866","L_9109, L_9190, L_9246, L_9319, L_14273, L_17148, L_9104, L_9105, L_9106, L_9107, L_9108, L_911, L_9110, L_9111, L_9112, L_9113, L_9114, L_9115, L_9116, L_9117, L_9118, L_9119, L_912, L_9120, L_9121, L_9122, L_9123, L_9124, L_9125, L_9126, L_9127, L_9128, L_9129, L_913, L_9156, L_9157, L_9158, L_9159, L_916, L_9160, L_9161, L_9162, L_9163, L_9164, L_9165, L_9166, L_9167, L_9168, L_9169, L_917, L_9170, L_9171, L_9172, L_9173, L_9174, L_9175, L_9176, L_9177, L_9178, L_9179, L_918, L_9180, L_9181, L_9182, L_9183, L_9184, L_9185, L_9186, L_9187, L_9188, L_9189, L_919, L_9191, L_9192, L_9193, L_9194, L_9195, L_9196, L_9197, L_9198, L_9199, L_92, L_920, L_9200, L_9201, L_9202, L_9203, L_9204, L_9205, L_9206, L_9207, L_9208, L_9209, L_921, L_9210, L_9211, L_9212, L_9213, L_9214, L_9215, L_9216, L_9217, L_9218, L_9219, L_922, L_9220, L_9221, L_9222, L_9223, L_9224, L_9225, L_9226, L_9227, L_9228, L_9229, L_923, L_9230, L_9231, L_9232, L_9233, L_9234, L_9235, L_9236, L_9237, L_9238, L_9239, L_924, L_9240, L_9241, L_9242, L_9243, L_9244, L_9245, L_9247, L_9248, L_9249, L_925, L_9250, L_9251, L_9252, L_9253, L_9254, L_9255, L_9256, L_9257, L_9258, L_9259, L_926, L_9260, L_9261, L_9262, L_9263, L_9264, L_9265, L_9266, L_9267, L_9268, L_9297, L_9298, L_9299, L_93, L_930, L_9300, L_9301, L_9302, L_9303, L_9304, L_9305, L_9306, L_9307, L_9308, L_9309, L_931, L_9310, L_9311, L_9312, L_9313, L_9314, L_9315, L_9316, L_9317, L_9318, L_932, L_9320, L_9321, L_9322, L_9323, L_9324, L_9325, L_9326, L_9327, L_9328, L_9329, L_933, L_9330, L_9331, L_9332, L_9333, L_9334, L_9335, L_9336, L_9337, L_9338, L_9339, L_934, L_9340, L_9341, L_9342, L_9343, L_9344, L_9345, L_9346, L_9347, L_9348, L_9349, L_935, L_9350, L_9351, L_9352, L_9353, L_9354, L_9355, L_14252, L_14253, L_14254, L_14255, L_14256, L_14257, L_14268, L_14269, L_14270, L_14271, L_14272, L_14274, L_14275, L_14276, L_14277, L_14278, L_14279, L_14280, L_14281, L_14282, L_14283, L_14284, L_14285, L_14286, L_14287, L_14288, L_14289, L_14290, L_14291, L_14292, L_14293, L_14294, L_14295, L_14296, L_14297, L_17140, L_17141, L_17142, L_17143, L_17144, L_17145, L_17146, L_17147, L_17149, L_17150, L_17151, L_17152, L_17153, L_17154, L_17155, L_17156, L_17157, L_17158, L_17159, L_17160, L_17161, L_17162, L_17163, L_17164, L_17165, L_17166, L_17167, L_17168, L_17169, L_17170, L_17171, L_17172, L_17173, L_17174",toscano grande 2016,Toscano-grande 2016
"Toulmin L. D., ",1977,,Stratigraphic Distribution of Paleocene and Eocene Fossils in the Eastern Gulf Coast Region,"Geological Survey of Alabama, Monograph",,,Toulmin,,Journal article,English,PBDB,"PBDB_80367, PBDB_80384, PBDB_80387, PBDB_80495, PBDB_80621, PBDB_80670, PBDB_80672, PBDB_80764, PBDB_80765, PBDB_80766, PBDB_80767, PBDB_80776, PBDB_80779, PBDB_80785, PBDB_80789, PBDB_80792","PBDB_27645, PBDB_27646, PBDB_27647, PBDB_27648, PBDB_27649, PBDB_27655, PBDB_27650, PBDB_27651, PBDB_27652, PBDB_27653, PBDB_27654, PBDB_27656, PBDB_27657, PBDB_27658, PBDB_27659, PBDB_27660, PBDB_27661, PBDB_27662, PBDB_27663",toulmin 1977,Toulmin 1977
"Tournouér A., ",1903,,Note sur la géologie et la paléontologie de la Patagonie,Bulletin de la Société Géologique de France,,,Tournouér,,Journal article,French,PBDB,"PBDB_50067, PBDB_50072","PBDB_24980, PBDB_24979, PBDB_24995",tournouer 1903,Tournouér 1903
"Treude, T. & Kiel, S. & Linke, P. & Peckmann, J. & Goedert, J.L.",2011,,Elasmobranch egg capsules associated with modern and ancient cold seeps: a nursery for marine deep-water predators.,Marine Ecology Progress Series,10.3354/meps09305,"At 2 modern deep-water cold-seep sites, the North Alex Mud Volcano (eastern Mediterranean Sea, water depth ~500 m) and the Concepción Methane Seep Area (south-east Pacific Ocean, water depth ~700 m), we found abundant catshark (Chondrichthyes: Scyliorhinidae) and skate (Chondrichthyes: Rajidae) egg capsules, respectively, associated with carbonates and tubeworms. Fossilized catshark egg capsules were found at the 35 million year old Bear River Cold-Seep Deposit (Washington State, USA) closely associated with remains of tubeworms and sponges. We suggest that cold-seep ecosystems have served as nurseries for predatory elasmobranch fishes since at least late Eocene time and therewith possibly play an important role for the functioning of deep-water ecosystems. ",Treude,"Marine Ecology Progress Series, 437: 175–181",Journal article,English,L,L_1192,L_11985,treude et al. 2011,Treude et al. 2011
"Trif N., Ciobanu R., V. Codrea",2016,,"The first record of the giant shark Otodus megalodon (Agassiz, 1835) from Romania",Brukenthal. Acta Musei,,,Trif,,Journal article,English,PBDB,"PBDB_123125, PBDB_201827","PBDB_12701, PBDB_17212",trif et al. 2016,Trif et al. 2016
"Trif, N. & Codrea, V.",2017,,Some Badenian fish teeth from Western Transylvania (Romania).,Muzeul Olteniei Craiova. Oltenia. Studii şi comunicări. Ştiinƫele Naturii,,"The work herein reports some Badenian (Middle Miocene) fish of western Transylvanian Basin documented by teeth. So far, the Middle Miocene fish teeth from Transylvania were very rarely reported and hardly ever illustrated. Teeth from recent fieldwork and from several collections were analyzed. They originate from the localities G√¢rbova de Sus, Cetea, Lopadea Veche and Rachi»ô, all in Alba County. The present article describes and illustrates nine fish teeth that belong to Otodus (Megaselachus) megalodon Agassiz 1835, Hemipristis serra, Agassiz 1835, Carcharodon hastalis Agassiz 1838, Carcharias sp., Diplodus jomnitanus and Sparidae indet. These representatives refine the knowledge of the upper trophic links in the Badenian Paratethys Sea ecosystems in the Inner Carpathian region of Romania.",Trif,"Muzeul Olteniei Craiova. Oltenia. Studii ≈üi comunicƒÉri. ≈ûtiin≈£ele Naturii, 33 (1): 7-17",Journal article,English,L,"L_845, L_846, L_847, L_848","L_91, L_910, L_9100, L_9101, L_9102, L_9103",trif & codrea 2017,Trif & Codrea 2017
"Trif, N. & Codrea, V. & Bălc, R.",2017,,"Fossil shark teeth from the collections of the Museum of Natural Sciences, Mure»ô.",In: Marisia,,"Specimens of fossil shark teeth hosted in the Museum of Natural Sciences T√¢rgu Mure≈ü are herein reassessed, bringing new evidences regarding the occurrences of the species Otodus megalodon, O. auriculatus and Macrorhizodus praecursor in the Paleogene and Lower Miocene sedimentary basins of Transylvania and in Romania. he presence of the biggest and geologically oldest O. megalodon needs to be highlighted, as this species is still rare in our country. Keywords: Transylvania, fossil sharks, Paleogene, Early Miocene.",Trif,"In: Marisia, 37: 103-112",Book chapter,English,L,"L_843, L_844","L_9098, L_9099, L_9097",trif et al. 2017,Trif et al. 2017
"Trikolidi F. A., Novikov I. V., ",2020,,The First Find of the Dental Plate of the Genus Myliobatis Cuvier (Elasmobranchii: Batomorphii) in the Upper Paleocene of the Crimea  ,Paleontological Journal,10.1134/s0031030120020148,,Trikolidi,,Journal article,English,PBDB,PBDB_208954,PBDB_17681,trikolidi & novikov 2020,Trikolidi & Novikov 2020
"Trikolidi, F.A.",2014,,Cow sharks (Hexanchiformes) from the Cretaceous deposits of the Crimea. (In russian),"Proceedings of the Zoological Institute, Russian Academy of Sciences",,,Trikoldi,"Proceedings of the Zoological Institute, Russian Academy of Sciences, 318 (1): 76–97",Journal article,Russian,L,L_2070,"L_28812, L_28813, L_28814, L_28815, L_28816, L_28817",trikolidi 2014,Trikolidi 2014
"Trikolidi, F.A. & Nazarkin, M.V.",2016,,New data on the cow shark teeth (Hexanchiformes) from the Cretaceous deposits of Sakhalin Island (Russia). [in Russian with English abstract],"Proceedings of the Zoological Institute, Russian Academy of Sciences",,"The tooth of cow shark of the genus Hexanchus (Hexanchidae) from the Cretaceous (Lower Campanian) deposits of southern Sakhalin Island is described. It is most similar with the teeth, described as Hexanchus microdon (Agassiz, 1835) or H. cf. microdon from the Upper Cretaceous of Japan. Previously shark teeth from the Cretaceous deposits of the Russian Far East not described.",Trikoldi,"Proceedings of the Zoological Institute, Russian Academy of Sciences, 320 (1): 66–70",Journal article,Russian,L,L_2064,L_28806,trikolidi & nazarkin 2016,Trikolidi & Nazarkin 2016
"Trikolidi, P.A.",2008,,Chondrichtyan fish fossils (Hexanchidae) from Lower Cretaceous of Crimea. [in Russian],Cretaceous System of Russia and adjacent countries: problems of stratigraphy and paleogeography,,no abstract,Trikoldi,"from: Cretaceous System of Russia and adjacent countries: problems of stratigraphy and paleogeography, ",Journal article,Russian,L,L_2279,"L_29650, L_29651",trikolidi 2008,Trikolidi 2008
"Tschernezky W., ",1959,,Age of Carcharodon megalodon?,Nature,10.1038/1841331a0,,Tschernezky,,Journal article,English,PBDB,PBDB_152404,PBDB_14359,tschernezky 1959,Tschernezky 1959
"Tulu Y., Rogers R. R., ",2004,,"Late Cretaceous chondrichthyans from the Woodhawk bonebed, Judith River Formation (Campanian), Fergus County, Montana",Journal of Vertebrate Paleontology,,,Tulu,,Abstract,English,PBDB,PBDB_177498,"PBDB_16373, PBDB_16374, PBDB_16375, PBDB_16376, PBDB_16377, PBDB_16378, PBDB_16379, PBDB_16380, PBDB_16381, PBDB_16382, PBDB_16383, PBDB_16384, PBDB_16385, PBDB_16386, PBDB_16387",tulu & rogers 2004,Tulu & Rogers 2004
"Tykoski R. S., Fiorillo A. R., ",2010,,An entantiornithine bird from the lower middle Cenomanian of Texas,Journal of Vertebrate Paleontology,10.1080/02724630903416068,,Tykoski,,Journal article,English,PBDB,PBDB_94333,PBDB_10575,tykoski & fiorillo 2010,Tykoski & Fiorillo 2010
"Tyler J.C., Gregorová R.",1991,,"A new genus and species of Boxfish (Tetraodontiformes: Ostraciidae) from the Oligocene of Moravia, the second fossil representative of the family.",Smithsonian Contributions to Paleobiology,10.5479/si.00810266.71.1,,Tyler,,Journal article,English,PBDB,PBDB_210132,,tyler & gregorova 1991,Tyler & Gregorová 1991
"Udovichenko N. I., ",2009,,"Ichthyofauna and age of the Paleogene sands of Osinovo area, Lugansk region",–ò—Å–∫–æ–ø–∞–µ–º–∞—è —Ñ–∞—É–Ω–∞ –∏ —Ñ–ª–æ—Ä–∞ –£–∫—Ä–∞–∏–Ω—ã: –ø–∞–ª–µ–æ—ç–∫–æ–ª–æ–≥–∏—á–µ—Å–∫–∏–π –∏ —Å—Ç—Ä–∞—Ç–∏–≥—Ä–∞—Ñ–∏—á–µ—Å–∫–∏–π –∞—Å–ø–µ–∫—Ç—ã. –°–±–æ—Ä–Ω–∏–∫ –Ω–∞—É—á–Ω—ã—Ö —Ç—Ä—É–¥–æ–≤ –ò–Ω—Å—Ç–∏—Ç—É—Ç–∞ –≥–µ–æ–ª–æ–≥–∏—á–µ—Å–∫–∏—Ö –Ω–∞—É–∫ –ù–ê–ù –£–∫—Ä–∞–∏–Ω—ã,10.30836/igs.2522-9753.2009.148111,,Udovichenko,,Journal article,Russian,PBDB,PBDB_120885,"PBDB_12624, PBDB_12625, PBDB_12626, PBDB_12627, PBDB_12628, PBDB_12629, PBDB_12630, PBDB_12631, PBDB_12632, PBDB_12633, PBDB_12634, PBDB_12635, PBDB_12636, PBDB_12638, PBDB_12639, PBDB_12640, PBDB_12641, PBDB_12642, PBDB_12643, PBDB_12644, PBDB_12637, PBDB_27479, PBDB_27480",udovichenko 2009,Udovichenko 2009
