author,year,identifier,title,journal,keyword_time,keyword_place,described_species,described_genus,described_fam_ord,nov_fam,nov_gen,nov_sp,DOI,abstract,author1,journal_detail,pubtype,language,reference_display,reference_key
"Herman J., Hovestadt-Euller M., D. C. Hovestadt",1988,,"Additions to the Eocene fish fauna of Belgium; 9, Discovery of Eomobula gen. et. sp. nov.",Tertiary Research,,,,,,,,,,,Herman,,Journal article,English,Herman et al. 1988,herman et al. 1988
"Torices Hernández A.,  , ",2002,,"Los dinosaurios terópodos del Cretácico Superior de la Cuenca de Tremp (Pirineos Sur-Centrales, Lleida)",Coloquios de Paleontología,,,,,,,,,,,Torices Hernández,,Journal article,Spanish,Torices Hernández 2002,torices hernandez 2002
"Hertlein L. G.,  , ",1966,,"Pliocene fossils from Rancho El Refugio, Baja California and Cerralvo Island, Mexico",Proceedings of the California Academy of Sciences,,,,,,,,,,,Hertlein,,Journal article,English,Hertlein 1966,hertlein 1966
"Hessin, W.A. & Morrison, K. & Bowen, D.",2007,,"Pictorial guide to the fossil shark teeth from the Upper Cretaceous of Hornby Island, British Columbia, Canada.",Digital Production,"Cretaceous, Late Cretaceous, Campanian, Maastrichtian","North America, Britsh Columbia","Chlamydoselachus sp., Chlamydoselachus thomsoni, Thrinax sp., Hexanchus microdon, Notidanodon dentatus, Heptranchias sp., Sphenodus sp., Echinorhinus sp., Centrophoroides appendiculatus, Centrophorus sp., Oxynotus sp., Cretascymnus sp., Pristiophorus sp., Ginglymostoma sp., Odontaspis sp., Carcharias sp., Paraorthacodus sp., Synechodus sp., Ganopristis leptodon,",,,,,,,"This illustrated guide identifies twenty species of fossil shark teeth from the Upper Cretaceous rocks of Hornby Island, British Columbia, Canada. Two primary localities on the northwestern corner of the island yield fossil shark teeth. These are Manning Point and Collishaw Point (see Figure 1 for map). Hornby Island is a small island in the strait of Georgia, and is accessible by car & ferry. Take the Denman ferry over to Denman Island from Buckley Bay which is about 75 kilometers north of Nanaimo on Vancouver Island. Drive across Denman to Gravely Bay and take the ferry across to Hornby Island. ",Hessin,"Digital Production W.A. HESSIN, p. 1–35.",Abstract,English,Hessin et al. 2007,hessin et al. 2007
"Heyng, A.M.",2007,,Zwei Zähne des Riesenhaies Carcharocles auriculatus (BLAINVILLE) aus dem Spirka-Member der Adelholzen-Formation (Eozän) von Rohrdorf am Chiemsee (Süddeutschland).,Documneta naturae,"Paleogene, Eocene","Europe, Germany",Carcharocles auriculatus,,,,,,,no abstract,Heyng,"Documneta naturae, 164 (1): 33–35, 2 figs.",Journal article,German,Heyng 2007,heyng 2007
"Hiden H. R.,  , ",1995,,"Elasmobranchier (Pisces, Chondrichthyes) aus dem Badenium (Mittleres Miozän) des Steirischen Beckens (Ästerreich)",Mitteilungen der Abteilung für Geologie und Paläontologie am Landesmuseum Joanneum,,,,,,,,,,,Hiden,,Journal article,German,Hiden 1995,hiden 1995
"Hill R. T.,  , ",1901,,"Geography and geology of the Black and Grand Prairies, Texas",Twenty-First Annual Report of the United States Geological Survey. Part VII‚ÄîTexas,,,,,,,,,,,Hill,,Journal article,English,Hill 1901,hill 1901
"Hill, L.",1989,,Notes on the Kamp Ranch Umestone.,Dallas Paleontological Society,"Cretaceous, Late Cretaceous","North America, Texas","Squalicorax falcatus, Cretoxyrhina mantelli, Scapanorhynchus rhaphiodon,Cretolamna appendiculata, Leptostyrax crassidens, Odontaspis sp., Ischyrhiza mira",,,,,,,,Hill,"Dallas Paleontological Society, Occasional Papers, : 25–30",Journal article,English,Hill 1989,hill 1989
"Hill R. V., Roberts E. M., L. Tapanila, M. L. Bouaré, F. Sissoko, M. O'Leary",2015,,Multispecies shark feeding in the trans-saharan seaway: evidence from Late Cretaceous dyrosaurid (Crocodyliformes) fossils from northeastern Mali,Palaios,,,,,,,,,10.2110/palo.2014.109,,Hill,,Journal article,English,Hill et al. 2015,hill et al. 2015
"Hillmer G., Mundlos R., ",1981,,Placoid dermal scales (tubercles) of rajoid skates from the Eocene of Helmstedt (northern Germany),Neuse Jarhbuch fur Geologie und Palaeontologie,,,,,,,,,10.1127/njgpm/1981/1981/449,,Hillmer,,Journal article,German,Hillmer & Mundlos 1981,hillmer & mundlos 1981
"Hills L. V., Nicholls E. L., L. M. Nunez-Betelu, D. J. McIntyre",1999,,Hesperornis (Aves) from Ellesmere Island and palynological correlation of known Canadian localities,Canadian Journal of Earth Sciences,,,,,,,,,10.1139/cjes-36-9-1583,,Hills,,Journal article,unknown,Hills et al. 1999,hills et al. 1999
"Hirayama R., Tong H., ",2003,,"Osteopygis (Testudines: Cheloniidae) from the Lower Tertiary of the Ouled Abdoun phosphate basin, Morocco",Palaeontology,,,,,,,,,10.1111/1475-4983.00322,,Hirayama,,Journal article,English,Hirayama & Tong 2003,hirayama & tong 2003
"Hirota K.,  , ",1979,,A list of vertebrate fossils from the Shimame Prefecture,Fossil Club Bulletin,,,,,,,,,,,Hirota,,Journal article,English,Hirota 1979,hirota 1979
"Hochstein, J.L.",2005,,Quantification of the extent of diagenesis in biogenic apatite of Cenozoic shark Centra.,University of Florida,"rezent, Paleogene, Eocene",,"Otodus obliquus, Carcharodon carcharias, Isurus paucus, Isurus oxyrinchus",,,,,,,"Diagenesis of bone in the fossil record is pervasive; however, the extent of this process varies with depositional environment. Diagenesis is any chemical or physical change that occurs below 200ºC. This study quantifies the extent of diagenesis in shark vertebral centra through analysis of a suite of physical and chemical properties including crystallinity index, carbonate content, isotopes, and major, minor, and trace elemental concentrations. The sharks used in this study (Family Lamnidae) range in geographic location and geological age from the Cretaceous to Recent. Although shark skeletons are initially cartilaginous, the cartilage of the vertebral centra is replaced with carbonate hydroxyapatite during growth of the individual. Understanding chemical changes to biogenic apatite informs of the extent diagenesis has altered the biological signal preserved in vertebrate bones. Modern lamnid vertebral centra establish a modern analog for comparison to fossil lamnid sharks. Rare earth element (REE) compositions, Δ14C, and δ18O, give indications of timing of when these sharks migrate, changes in their eating habits, changes in water depth, and determination of ontogenic age and growth rates. Fossil shark centra used in this study have undergone diagenesis; therefore how have the processes of diagenesis affected the original signal recorded in these centra? Shale-normalized REE patterns indicate that diagenesis has erased the original signal; however because diagenesis occurred at or near the seawater/sediment interface, a seawater REE signal may still be preserved in lamnid shark centra (related to the time of deposition and location). Therefore, with caution, geochemical data from biogenic apatite of fossil marine vertebrates, such as lamnid sharks, may be used to understand paleoceanography and paleoenvironment. Also, the centra from Otodus obliquus demonstrate that the biological oxygen isotopic signal is not completely erased by diagenesis. Therefore, biological signals and diagenetic signals of fossil lamnid sharks can be utilized to understand paleobiology, paleoclimatology, and paleoceanography.",Hochstein,"PhD Thesis, University of Florida",Thesis,English,Hochstein 2005,hochstein 2005
"Hoffman, B.L. & Jensen, J.S. & Hageman, S.A.",2018,,"Dental Structure of the Late Cretaceous (Maastrichtian) Guitarfish (Neoselachii: Batoidea) Myledaphus pustulosus from the Hell Creek Formation of Garfield County, Montana.",Transactions of the Kansas Academy of Science,"Cretaceous, Late Cretaceous, Maastrichtian","North America, Montana",Myledaphus pustulosus,,,,,,10.1660/062.121.0412,"In this study, we examine surface collected teeth of Myledaphus pustulosus from the Upper Cretaceous (Maastrichtian) Hell Creek Formation of Garfield County, Montana. Macroscopic analysis of teeth shows that 54% of the teeth have pronounced attritional wear due to a durophagous diet. A higher percentage of unworn teeth than worn teeth (64% vs 27%) have acid damage due to predation or scavenging. Ultrastructural analysis of whole and sectioned teeth show that the enameloid of the teeth is 100–125 µm thick and is composed of a single crystallite enameloid in which apatite crystallites show no preferred orientation. Orthodentine in the tooth crown is composed of dense material with numerous canals for odontoblast processes which extend nearly to the tooth surface. Dentinal tubules surround odontoblasts most of the way through the enameloid. The enameloid microstructure of M. pustulosus is consistent with the pattern seen in other batoids.",Hoffman,Transactions of the Kansas Academy of Science; 121 (3-4): 279-296,Journal article,English,Hoffman et al. 2018,hoffman et al. 2018
"Hoffstetter R.,  , ",1961,,Nouvelles récoltes de serpents fossiles dans l'Éocéne Supérieur du désert Libyque,"Bulletin du Muséum National Histoire Naturelle, Paris",,,,,,,,,,,Hoffstetter,,unknown,French,Hoffstetter 1961,hoffstetter 1961
"Hoganson, J.W. & Murphy, E.C.",2002,,"Marine Breien Member (Maastrichtian) of the Hell Creek Formation in North Dakota: Stratigraphy, vertebrate fossil record, and age.",Geological Society,"Cretaceous, Late Cretaceous, Maastrichtian","North America, North Dakota","Carcharias sp., Odontaspis sp., Cretolamna appendiculata, Serratolamna serrata, Paranomotodon sp., Galeorhinus sp., Pseudohypolophus sp., Myledaphus bipartitus, Ischyrhiza sp., Ptychotrygon cf. texana, Peyeria sp., Ischyodus sp.,",,Chimaeriformes indet.,,,,10.1130/0-8137-2361-2.247,"The Breien Member of the Hell Creek Formation represents the last well-documented advance of the Fox Hills Sea into the upper midcontinent during the Late Cretaceous (Maastrichtian). This member is lithologically variable and consists of burrowed, greenish-gray, glauconitic sandstone and mudstone or burrowed, inter- bedded sandstone and mudstone. Iron-oxide staining is usually present. Ichnofossils, most of which are Ophiomorpha, occur throughout the member and are often associated with Crassostrea subtrigonalis. The Breien Member is exposed in isolated ravine, road cut, and butte outcrops in south-central North Dakota. It ranges in thickness from 1.5 m in Emmons County to 8.5 m in Morton County. The Breien interfingers with nonmarine, dinosaur fossil-bearing Hell Creek deposits. Both upper and lower contacts of the Breien Member with nonmarine Hell Creek strata are lithologically variable and conformable. The base of the member is 1.5-9.0 m above the Fox Hills Formation and the top of the member is 46-61 m below the Hell Creek-Fort Union formational contact. Because of lithologic variability at the Breien Member's type locality and elsewhere in its outcrop area, three reference sections are designated to characterize the Breien. Fossils are scarce in the Breien Member but indicate deposition within the Upper Cretaceous Jeletzkytes nebrascensis Zone and a Lancian age. The Breien vertebrate fossil assemblage consists of terrestrial and marine taxa, including fish, crocodilians, dinosaurs, and mammals. Marine chondrichthyan teeth are the most abundant vertebrate fossils. Most of these taxa corroborate a Late Cretaceous age for the member and indicate that the Breien was deposited in relatively shallow water, nearshore, marine environments. This marine chondrichthyan fauna is similar to, but less diverse than, the Maastrichtian Fox Hills Formation fauna and exhibits no similarity to the early Paleocene Cannonball Member fauna. This finding lends support for a major end-Cretaceous extinction of marine chondrichthyan species.",Hoganson,"Geological Society of America, Special Paper, 361: 247–269",Journal article,English,Hoganson & Murphy 2002,hoganson & murphy 2002
"Hoganson J. W., Campbell J. M., E. C. Murphy",1994,,"Stratigraphy and paleontology of the Cretaceous Hell Creek Formation, Stumpf site, Morton County, North Dakota",Proceedings of the North Dakota Academy of Sciences,,,,,,,,,,,Hoganson,,Journal article,English,Hoganson et al. 1994,hoganson et al. 1994
"Hoganson, J.W. & Erickson, J.M. & Holland, F.D.",1996,,"Vertebrate paleontology of the Timber Lake Member, Fox Hills Formation (Maastrichtian), North Dakota","Fifty-Sixth Annual Meeting, Society of Vertebrate Paleontology","Cretaceous, Late Cretaceous","North America, North Dakota",,,,,,,,"Exposures of the Late Cretaceous (Maastrichtian) Timber Lake Member of the Fox Hills
Formation, consisting mostly of sandstones and siltstones deposited in shallow marine
and lagoonal settings, are found in south-central and southwestern North Dakota.
Vertebrate fossils, mostly isolated teeth of fish and reptiles, have been recovered from
the Timber Lake Member at 33 localities in North Dakota (Bowman, Morton, Sioux,
Emmons, and Logan counties).
Cartilaginous fish tax present include: Hybodus, Squatina, Ginglymostoma,
Carcharias cf. C. tenuiplicatus, Carcharias, Odontaspis, Serratolamna serrata,
Paranomotodon?, Squalicorax pristodontus, Archeotriakis, Galeorhinus?, Paleogaleus,
Rhinobatidae gen. and sp. indet., Pseudohypolophus menulryi, Myledaphus bipartitus,
Ischyrhiza mira, I. texana, Prychotrygon triangularis, Dasyatis, Edaphodon priscus, and
Ischyodus. Bony fish present include: Enchodus, Egertonia, and Vorhisia vulpes.
Reptiles present are: Mosasaurus dekayi, Plioplatecarpus, Basilemys, Leidysosuchus?,
and an unidentified tyrannosaurid.
These tax corroborate a Maastrichtian age for the Fox Hills Formation established
previously by ammonites (Jeletzkyres nebrascensis zone). This fauna also indicates that
the Fox Hills Seaway was shallow and warm in North Dakota. The Timber Lake fish
fauna is significantly different than that of the Paleocene Cannonball Formation
suggesting that the end Cretaceous extinction event affected marine fish faunas.",Hoganson,"Fifty-Sixth Annual Meeting, Society of Vertebrate Paleontology. Journal of Vertebrate Paleontology, Vol. 16, No.3, Supplement. Abstracts of Papers",Abstract,English,Hoganson et al. 1996,hoganson et al. 1996
"Hoganson, J.W. & Erickson, J.M, & Cvancara, A.M. & Holland, F.D.",1997,,"Terminal Cretaceous extinction event documented by marine cartilaginous fishes from the Fox Hill (Maastrichtian) and Cannonball (Danian/Thanetian) formations, North Dakota","Fifty-Seventh Annual Meeting, Society of Vertebrate Paleontology","Cretaceous, Late Cretaceous, Maastrichtian","North America, North Dakota",,,,,,,,"Shallow water marine sediments of the Timber Lake Member of the Fox Hills Formation and Cannonball Formation document the last major marine incursions into North Dakota during the latest Cretaceous and Paleocene, respectively. Biochronological indicators establish a Maastrichtian age (Jeletzkytes nebracensis zone) for the Timber Lake Member and a Danian/Thanetian age for the Canonball Formation. Both formations contain diverse cartilaginous fish faunas represented primarily by teeth and dental plates. Twenty-two cartilaginous fish species represented by 20 genera in 15 families occur in the Timber Lake Member. Fifteen cartilaginous fish species represented by 13 genera in 10 families were identified from the Cannonball Formation. None of the identified species occur in both rock units, and only four genera (Carcharias, Palaeogaleus, Dasyatis and Ischyodus) were common to both units. None of the Cannonball species range into the Cretacous anywhere and four of the Cannonball genera (Megasqualus, Palaeohypotodus, Otodus, and Hypolophodon) originate in the Paleocene. Eight genera (Hybodus, Squalicorax, Paranomotodon, Archaeotriakis, Pseudohypolophus, Ischyrhiza, Ptychotrygon, and Rhombodus) recovered from the Timber Lake Member do not range into the into the Tertiary. All but four families found in the Timber Lake Member range into the Tertiary and only one family represented in the Cannonball Formation does not range into the Cretaceous. The end Cretaceous extinction event did not drastically affecy cartilaginous fish faunas at the family level. This extinction event did, however, have a major effect on the shallow water Western Interior Seaway cartilaginous fish faunas at the generic and, particularly  the specific, levels. The Cannonball fauna is 35% smaller at the generic level than the Fox Hills with reductions coming from genera of varied ecological niches. Paleocene originations are genera with similar ecological preferences.",Hoganson,"Fifty-Seventh Annual Meeting, Society of Vertebrate Paleontology. Vol. 17, No. 3, Supplement. Abstract of papers.",Abstract,English,Hoganson et al. 1997,hoganson et al. 1997
"Hoganson J. W., Erickson J. M., F. D. Holland",2019,,"Chondrichthyan and osteichthyan paleofaunas from the Cretaceous (Late Maastrichtian) Fox Hills Formation of North Dakota, USA: paleoecology, paleogeography, and extinction",Bulletins of American Paleontology,,,,,,,,,10.32857/bap.2019.398,,Hoganson,,Serial monograph,English,Hoganson et al. 2019,hoganson et al. 2019
"Holec P.,  , ",2001,,Chondrichthyes and Osteichthyes (Vertebrata) from Miocene of Vienna Basin near Bratislava (Slovakia),Mineralia Slovaca,,,,,,,,,,,Holec,,Journal article,unknown,Holec 2001,holec 2001
"Holec P., Hornacek M., M. Sykora",1995,,"Lower Miocene shark (Chondrichthyes, Elasmobranchii) and whale faunas (Mammalia, Cetaca) near Mucin, Southern Slovakia","Geologicke prace, Spravy",,,,,,,,,,,Holec,,Journal article,unknown,Holec et al. 1995,holec et al. 1995
"Holman J. A., Case G. R., ",1988,,Reptiles from the Eocene Tallahatta Formation of Alabama,Journal of Vertebrate Paleontology,,,,,,,,,10.1080/02724634.1988.10011716,,Holman,,Journal article,English,Holman & Case 1988,holman & case 1988
"Holman J. A.,  , ",2002,,"Paleocene turtles and crocodilians directly above the Cretaceous/Tertiary (K/T) boundary in Pulaski County, Illinois",Michigan Academician,,,,,,,,,,,Holman,,Journal article,English,Holman 2002,holman 2002
"Holroyd P. A., Hutchison J. H., ",2002,,Patterns of geographic variation in latest Cretaceous vertebrates: evidence from the turtle component,Geological Society of America Special Paper,,,,,,,,,10.1130/0-8137-2361-2.177,,Holroyd,,Journal article,English,Holroyd & Hutchison 2002,holroyd & hutchison 2002
"Höltke, O.",2014,,Haifischbecken Ursendorf.,Fossilien,"Neogene, Miocene, Burdigalian","Europe, Germany",Molasse,"Carcharocles megalodon, Alopias exigua, Carcharhinus sp., Chaenogaleus affinis, Carcharias acutissima, Carcharias cuspidata, Galeocerdo aduncus, Galeorhinus sp., Hemipristis serra, Isurus hastalis, Notorhynchus primigenius, Carcharoides catticus, Scyliorhinus sp., Mitsukurina lineata",,,,,,,Höltke,"Fossilien, 2014 (2): 20-25",Fossil guide,German,Höltke 2014,holtke 2014
"Holtzman R. C.,  , ",1978,,"Late Paleocene Mammals of the Tongue River Formation, Western North Dakota",North Dakota Geological Survey Report of Investigations,,,,,,,,,,,Holtzman,,Journal article,English,Holtzman 1978,holtzman 1978
"Hone D. W. E., Tanke D. H., ",2015,,"Pre- and postmortem tyrannosaurid bite marks on the remains of Daspletosaurus (Tyrannosaurinae: Theropoda) from Dinosaur Provincial Park, Alberta, Canada",PeerJ,,,,,,,,,10.7717/peerj.885,,Hone,,Journal article,English,Hone & Tanke 2015,hone & tanke 2015
"Hone, D.W.E. & Witton, M.P. & Habib, M.B.",2018,,Evidence for the Cretaceous shark Cretoxyrhina mantelli feeding on the pterosaur Pteranodon from the Niobrara Formation.,PeerJ,"Cretaceous, Late Cretaceous, Santonian","North America, Kansas",Cretoxyrhina mantelli,,,,,,10.7717/peerj.6031,"A cervical vertebra of the large, pelagic pterodactyloid pterosaur Pteranodon sp. from the Late Cretaceous Niobrara Formation of Kansas, USA is significant for its association with a tooth from the large lamniform shark, Cretoxyrhina mantelli. Though the tooth does not pierce the vertebral periosteum, the intimate association of the fossils—in which the tooth is wedged below the left prezygapophysis—suggests their preservation together was not mere chance, and the specimen is evidence of Cretoxyrhina biting Pteranodon. It is not possible to infer whether the bite reflects predatory or scavenging behaviour from the preserved material. There are several records of Pteranodon having been consumed by other fish, including other sharks (specifically, the anacoracid Squalicorax kaupi), and multiple records of Cretoxyrhina biting other vertebrates of the Western Interior Seaway, but until now interactions between Cretoxyrhina and Pteranodon have remained elusive. The specimen increases the known interactions between large, pelagic, vertebrate carnivores of the Western Interior Seaway of North America during the Late Cretaceous, in addition to bolstering the relatively small fossil record representing pterosaurian interactions with other species.",Hone,PeerJ. 6: e6031,Journal article,English,Hone et al. 2018,hone et al. 2018
"Horner J. R.,  , ",1979,,Upper Cretaceous dinosaurs from the Bearpaw Shale (marine) of south-central Montana with a checklist of Upper Cretaceous dinosaur remains from marine sediments in North America,Journal of Paleontology,,,,,,,,,,,Horner,,Journal article,unknown,Horner 1979,horner 1979
"Acosta Hospitaleche C., Reguero M., ",2010,,"First articulated skeleton of Palaeeudyptes gunnari from the Late Eocene of Isla Marimbo (Seymour Island), Antarctica",Antarctic Science,,,,,,,,,,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche & Reguero 2010,acosta hospitaleche & reguero 2010
"Acosta Hospitaleche C., Griffin M., M. Asensio, A. L. Cione, C. Tambussi",2013,,Middle Cenozoic penguin remains from the Patagonian Cordillera,Andean Geology,,,,,,,,,10.5027/andgeoV40n32-a0?5?,,Acosta Hospitaleche,,Journal article,English,Acosta Hospitaleche et al. 2013,acosta hospitaleche et al. 2013
"Hout, W.",1985,,Haaietanden en andere Tertiaire visresten uit Kallo (Belgie).,Gea – Stichting Geologische Aktiviteiten,"Paleogene, Oligocene","Europe, Belgium","Hexanchus primigenius, Hexanchus gigas, Hexanchus griseus, Odontaspis acutissima, Odontaspis vorax, Odontaspis cuspidata, Lamna rupeliensis, Lamna nasus, Isurus hastalis, Isurus escheri, Isurus desori, Isurus benedeni, Isurus retroflexus, Procarcharodon auriculatus, Procarcharodon angustidens, Procarcharodon megalodon, Carcharodon carcharias, Cetorhinus maximus, Palaeorhincodon sp., Scyliorhinus sp., Carcharhinus priscus, Galeorhinus latus, Galeocerdo aduncus, Galeocerdo sp., Hemipristis serra, Squalus acanthias, Somniosus microcephalus, Pristiophorus cf. schroederi, Squatina sp., Pristis sp., Raja sp., Raja clavata, Raja antiqua, Dasyatis sp., Myliobatis sp.,Aetobatis sp., Rhinoptera sp., Edaphodon antwerpiensis, ",,,,,,,,Hout,"Gea – Stichting Geologische Aktiviteiten, 18 (4): 125–160, figs. 1–39. [in Dutch]",Journal article,Dutch,Hout 1985,hout 1985
"Hovestadt, D.C. & Hovestadt-Euler, M.",1995,,"Additions to the fauna of the Boom Clay Formation of Belgium (Rupelian, Oligocene). Taxonomic adjustments on the Scyliorhinidae and Rajoidei, discovery of a dasyatid species (Pisces, Chondrichthyes) and of a curculionid species (Insecta, Coleoptera).","Belgian Geological Survey, Professional Paper: Elasmobranches et Stratigraphie","Paleogene, Oligocene, Rupelian","Europe, Belgium","Pristiophorus rupeliensis, Dasyatis sp., Raja casieri, Raja cecilae, Bythaelurus steurbauti, ",,,,,"Bythaelurus steurbauti, ",,,Hoevestadt,"Belgian Geological Survey, Professional Paper: Elasmobranches et Stratigraphie, 278: 261–282, pl. 1–11.",Journal article,English,Hovestadt & Hovestadt-euler 1995,hovestadt & hovestadt euler 1995
"Hovestadt, D.C. & Hovestadt-Euler, M.",2002,,The remains of a carcharhinid shark with a new triakid species in its digestive tract from the Oligocene of Germany.,Tertiary Research,"Paleogene, Oligocene","Europe, Germany","Triakis kelleri,",,"Carcharhinid genus undet., ",,,"Triakis kelleri,",,"A large part of the vertebral column of a carcharhinid shark and its digestive tract with remains of a new species Triakis kelleri fromthe Oligocene Frauenweiler clay pit (Baden-Württemberg, Germany) is described and illustrated. This new species represents the first record ofthis genus in Oligocene deposits. Triakid phylogenetic relationships are reviewed.",Hoevestadt,"Tertiary Research, 21 (1–4): 171–182, 1 fig., 1 tabl., pl. 1–4.",Journal article,English,Hovestadt & Hovestadt-euler 2002,hovestadt & hovestadt euler 2002
"Hovestadt, D.C. & Hovestadt-Euler, M.",2010,,"Urobatis molleni nov.sp. (Chondrichthyes, Myliobatiformes, Urolophidae) in the Eocene of Belgium.","Geominpal Belgica Découvertes géologiques, minéralogiques et paléontologiques en Belgique","Paleogene, Eocene","Europe, Belgium",Urobatis molleni,,,,,Urobatis molleni,,,Hoevestadt,"Geominpal Belgica Découvertes géologiques, minéralogiques et paléontologiques en Belgique, 1 (3): 67–69",Journal article,English,Hovestadt & Hovestadt-euler 2010,hovestadt & hovestadt euler 2010
"Hovestadt, D.C. & Hovestadt-Euler, M.",2010,b,"A partial skeleton of Carcharias gustrowensis (Winkler, 1875) (Chondrichthyes, Odontaspididae) including embryos, a chimaeriod dorsal fin spine and a myliobatoid tail spine from the Oligocene of Germany.",Cainozoic Research,"Paleogene, Oligocene","Europe, Germany",Carcharias gustrowensis,,,"Myliobatiform indet., Chimaeroid indet.",,,,"A partial skeleton of a pregnant shark with eight embryos is recorded from the Frauenweiler clay pit near Rauenberg (Oligocene, Rupelian; Baden-Württemberg, S. Germany) along with a myliobatoid tail spine and a chimaeroid dorsal fin spine. The shark is identified as Carcharias gustrowensis (Winkler, 1875). The dentition and vertebrae of the adult specimen and the embryos are described and illustrated, as well as the pectoral fin skeleton of the adult specimen and the dermal denticle morphology of the embryos. Furthermore, the myliobatoid tail-spine and chimaeroid dorsal fin-spine are described and illustrated. ",Hoevestadt,"Cainozoic Research, 7 (1–2): 83–97",Journal article,English,Hovestadt & Hovestadt-euler 2010b,hovestadt & hovestadt euler 2010b
"Hovestadt, D.C. & Hovestadt-Euler, M.",2012,,"A partial skeleton of Cetorhinus parvus Leriche, 1910 (Chondrichthyes, Cetorhinidae) from the Oligocene of Germany.",Paläontologische Zeitschrift,"Paleogene, Oligocene","Europe, Germany",,Cetorhinus parvus,,,,,10.1007/s12542-011-0118-9,"A partial skeleton of a shark was found in the Frauenweiler clay pit near Rauenberg (Oligocene, Rupelian; Baden-Württemberg, S. Germany). The shark is identified as Cetorhinus parvus Leriche 1910. One tooth, vertebrae, dermal denticles and most of the filter apparatus of the juvenile specimen are described and illustrated. A terminology is introduced for the gill raker elements of the genus Cetorhinus to compare C. parvus and C. maximus. ",Hoevestadt,"Paläontologische Zeitschrift, 86 (1): 71–83",Journal article,English,Hovestadt & Hovestadt-euler 2012,hovestadt & hovestadt euler 2012
"Hovestadt, M. & Hovestadt, D.C. & Smith, R.",1983,,"A contribution to the fish fauna of the belgian Palaeocene: A review of Notidanodon loozi (VINCENT, 1876).",Tertiary Research,"Paleogene, Paleocene","Europe, Belgium",,"Notidanodon loozi, Hexanchus griseus, Notorynchus cepedianus,",,,,,,A hypothetical reconstruction of the dentition of Notidanodon loozi is attempted using previously described teeth and two new forms.  The posterior teeth of the Recent species Notorhynchus cepedianus (Peron 1807) and Hexanchus griseus (Bonnaterre 1888) are described and compared with a posterior tooth of Notidanodon loozi (Vincent 1876).,Hoevestadt,"Tertiary Research, 5 (2): 71–80, 2 pl.",Journal article,English,Hovestadt et al. 1983,hovestadt et al. 1983
"Hovestadt, D.C. & Hovestadt-Euler, M. & Micklich, N.",2010,,A review of the chondrichthyan fauna of Grube Unterfeld (Frauenweiler) clay pit.,Kaupia,"Paleogene, Oligocene","Europe, Germany","Triakis kelleri, Carcharias acutissima, Carcharias cuspidata, Carcharias gustrowensis, Cetorhinus parvus, Isurolamna gracilis, Weissobatis micklichi, Notorynchus primigenius, Physogaleus latus, Squalus alsaticus",,Myliobatidae incertae sedis,,,,,"A review of the Rupelian chondrichthyan fauna of the Grube Unterfeld locality near Rauenberg is given, which is also known as the Frauenweiler clay pit. The records from the actual outcrop are listed. 11 different chondrichthyan taxa can be identified. Significant new records consist of articulated fragments and almost complete skeletons of at least six different shark and ray species. They include a new genus and species of Myliobatidae, with in situ preservation of the oral tooth plates and the tail spine. The selachian species Carcharias gustrowensis (Winkler, 1875), previously considered to be a junior synonym of C. acutissima, was validated (Reinecke et al 2005). Aside of isolated teeth, it is represented by a new record of a disarticulated partial skeleton including embryos in situ, providing early ontogenetic data (Hovestadt & Hovestadt-Euler 2010).Most of the chonrichthyans are related to Recent species which prefer shallow coastal seas with temperate to warm water. The preservation of the skeletons and skeletal fragments indicates a low-energy environment with an almost normal oxygen level at the sea floor —for at least some periods of time— and anoxic conditions in the uppermost bottom layers. ",Hoevestadt,"Kaupia, 17: 57–71",Journal article,English,Hovestadt et al. 2010,hovestadt et al. 2010
"Howard H., Barnes L. G., ",1987,,"Middle Miocene marine birds from the foothills of the Santa Ana Mountains, Orange County, California","Contributions in Science, Natural History Museum of Los Angeles County",,,,,,,,,10.5962/p.226829,,Howard,,Journal article,English,Howard & Barnes 1987,howard & barnes 1987
"Hübner T., Müller A., ",2010,,Selachian teeth from Campanian sediments (Upper Cretaceous) of the Münsterland Cretaceous Basin (NW Germany),Palaeontologische Zeitschrift,,,,,,,,,10.1007/s12542-010-0056-y,,Hübner,,Journal article,English,Hübner & Müller 2010,hubner & muller 2010
"Huddleston, R.W. & Barker, L.W.",1978,,"Otoliths and Other Fish Remains from the Chumash Midden at Rincon Point (SBa-1) Santa Barbara-Ventura Counties, California.",Contributions in Science,"Quaternary, Pleistocene","North America, California","Alopias vulpinus, Galeorhinus zyopterus, Mustelus californicus, Prionace glauca, Triakis semifasciata, Dasyatis dipterura, Heterodontus francisci, Notorynchus maculatus, Carcharodon carcharias, Isurus oxyrinchus, Myliobatis californica, Rhinobatus productus, Cephaloscyllium ventriosum, Squalus acanthias, Squatina californica, ",,,,,,,,Huddleston,"Contributions in Science, Los Angeles County Museum, 289: 38 p.",Journal article,English,Huddleston & Barker 1978,huddleston & barker 1978
